No;Product_Name;Qty;Unit;Store_Destination;Store_Address;Operator;Shipping_Vehicle;No_Polisi;Shipping_Driver;Shipping_codriver;Sending_Time;Delivered_Time;Received_By
1;Hydro Coco 250ml;5;box;Apotek Agus Sari;Jln Angga Jaya no 21;Ahmad Agus;Box A001;B 1234 GA;Dimas Ahmad;Andi Wahyu;01/05/2023 10:00;01/05/2023 13:30;Dian Ayu
2;Hydro Coco Vita-D 330ml;5;box;Apotek Agus Sari;Jln Angga Jaya no 21;Ahmad Agus;Box A001;B 1234 GA;Dimas Ahmad;Andi Wahyu;01/05/2023 10:00;01/05/2023 13:30;Dian Ayu
3;Milna Biskuit Bayi Apel;10;box;Apotek Agus Sari;Jln Angga Jaya no 21;Ahmad Agus;Box A001;B 1234 GA;Dimas Ahmad;Andi Wahyu;01/05/2023 10:00;01/05/2023 13:30;Dian Ayu
4;Hydro Coco 250ml;3;box;Toko Maju Bersama;Jln Agus Salim no 22;Ahmad Agus;Box A002;B 3214 JS;Hari Saputra;Dadang Bima;01/05/2023 11:00;01/05/2023 13:00;Eriawan
5;Hydro Coco 330ml;2;box;Toko Maju Bersama;Jln Agus Salim no 22;Ahmad Agus;Box A002;B 3214 JS;Hari Saputra;Dadang Bima;01/05/2023 11:00;01/05/2023 13:00;Eriawan
6;Entrasol Gold Original;8;box;Toko Maju Bersama;Jln Agus Salim no 22;Ahmad Agus;Box A002;B 3214 JS;Hari Saputra;Dadang Bima;01/05/2023 11:00;01/05/2023 13:00;Eriawan
7;Milna Nature Delight Apel Peach;10;box;Toko Anak Sehat;Jln Imam Bonjol no 33;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 12:00;Aji
8;Milna Nature Delight Apel Labu Wortel;5;box;Toko Anak Sehat;Jln Imam Bonjol no 33;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 12:00;Aji
9;Milna Rice Crackers Apple Orange;12;box;Toko Anak Sehat;Jln Imam Bonjol no 33;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 12:00;Aji
10;Milna Bubur Organik Multigrain;10;box;Toko Anak Sehat;Jln Imam Bonjol no 33;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 12:00;Aji
11;Entrasol Active Vanilla latte;5;box;Apotek Agung;Pasar Senen no 301;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 14:00;Jamal
12;Entrasol Gold Original;4;box;Apotek Agung;Pasar Senen no 301;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 14:00;Jamal
13;Entrasol Gold Chocolate;6;box;Apotek Agung;Pasar Senen no 301;Fitrianto;Box A001;B 1234 GA;Ginanjar;Hari Saputra;02/05/2023 09:00;02/05/2023 14:00;Jamal
